10	10	10	10	11	11	11	11	12	12	12	12	13	13	13	13	14	14	14	14	15	15	15	15
10	10	10	10	11	11	11	11	12	12	12	12	13	13	13	13	14	14	14	14	15	15	15	15
10	10	10	10	11	11	11	11	12	12	12	12	13	13	13	13	14	14	14	14	15	15	15	15
10	10	10	10	11	11	11	11	12	12	12	12	13	13	13	13	14	14	14	14	15	15	15	15
20	20	20	20	21	21	21	21	22	22	22	22	23	23	23	23	24	24	24	24	25	25	25	25
20	20	20	20	21	21	21	21	22	22	22	22	23	23	23	23	24	24	24	24	25	25	25	25
20	20	20	20	21	21	21	21	22	22	22	22	23	23	23	23	24	24	24	24	25	25	25	25
20	20	20	20	21	21	21	21	22	22	22	22	23	23	23	23	24	24	24	24	25	25	25	25
26	26	26	26	27	27	27	27	28	28	28	28	29	29	29	29	30	30	30	30	31	31	31	31
26	26	26	26	27	27	27	27	28	28	28	28	29	29	29	29	30	30	30	30	31	31	31	31
26	26	26	26	27	27	27	27	28	28	28	28	29	29	29	29	30	30	30	30	31	31	31	31
26	26	26	26	27	27	27	27	28	28	28	28	29	29	29	29	30	30	30	30	31	31	31	31
40	40	40	40	41	41	41	41	42	42	42	42	43	43	43	43	44	44	44	44	45	45	45	45
40	40	40	40	41	41	41	41	42	42	42	42	43	43	43	43	44	44	44	44	45	45	45	45
40	40	40	40	41	41	41	41	42	42	42	42	43	43	43	43	44	44	44	44	45	45	45	45
40	40	40	40	41	41	41	41	42	42	42	42	43	43	43	43	44	44	44	44	45	45	45	45
46	46	46	46	47	47	47	47	48	48	48	48	49	49	49	49	50	50	50	50	51	51	51	51
46	46	46	46	47	47	47	47	48	48	48	48	49	49	49	49	50	50	50	50	51	51	51	51
46	46	46	46	47	47	47	47	48	48	48	48	49	49	49	49	50	50	50	50	51	51	51	51
46	46	46	46	47	47	47	47	48	48	48	48	49	49	49	49	50	50	50	50	51	51	51	51
56	56	56	56	57	57	57	57	58	58	58	58	59	59	59	59	60	60	60	60	61	61	61	61
56	56	56	56	57	57	57	57	58	58	58	58	59	59	59	59	60	60	60	60	61	61	61	61
56	56	56	56	57	57	57	57	58	58	58	58	59	59	59	59	60	60	60	60	61	61	61	61
56	56	56	56	57	57	57	57	58	58	58	58	59	59	59	59	60	60	60	60	61	61	61	61
